AccumulatedRainfall,Date,EffectiveWaterStorageCapacity,HourlyRain,ReservoirIdentifier,ReservoirName,WaterLevel
75.8303,2018-06-20T15:00:00,7747,0.8,31,曾文水庫,198.07
75.0376,2018-06-20T14:00:00,7630,0.9,31,曾文水庫,197.87
74.0896,2018-06-20T13:00:00,7462,2.4,31,曾文水庫,197.58
71.6642,2018-06-20T12:00:00,7256,8.7,31,曾文水庫,197.22
62.9604,2018-06-20T11:00:00,7032,9.2,31,曾文水庫,196.82
53.8135,2018-06-20T10:00:00,6812,7.5,31,曾文水庫,196.42
46.2772,2018-06-20T09:00:00,6622,15,31,曾文水庫,196.07
31.3032,2018-06-20T08:00:00,6463,9.1,31,曾文水庫,195.77
22.2,2018-06-20T07:00:00,6378,1.8,31,曾文水庫,195.61
20.4,2018-06-20T06:00:00,6253,7.8,31,曾文水庫,195.37
12.6,2018-06-20T05:00:00,6129,6.8,31,曾文水庫,195.13
5.8,2018-06-20T04:00:00,6012,3.5,31,曾文水庫,194.9
2.3,2018-06-20T03:00:00,5896,1.7,31,曾文水庫,194.67
0.6,2018-06-20T02:00:00,5775,0.2,31,曾文水庫,194.43
0.4,2018-06-20T01:00:00,5632,0.4,31,曾文水庫,194.14
169.2848,2018-06-20T00:00:00,5475,5.4,31,曾文水庫,193.82
163.9269,2018-06-19T23:00:00,5317,7.3,31,曾文水庫,193.49
156.5677,2018-06-19T22:00:00,5160,8.1,31,曾文水庫,193.16
148.5433,2018-06-19T21:00:00,5018,9.2,31,曾文水庫,192.86
139.3,2018-06-19T20:00:00,4874,2.2,31,曾文水庫,192.55
137.1,2018-06-19T19:00:00,4717,0.5,31,曾文水庫,192.21
136.6,2018-06-19T18:00:00,4543,1.8,31,曾文水庫,191.83
134.8,2018-06-19T17:00:00,4344,9,31,曾文水庫,191.39
125.8,2018-06-19T16:00:00,4135,8.2,31,曾文水庫,190.92
